date,tem,hum
2022-09-08 10:00,22.9,64
2022-09-08 11:00,24.5,53
2022-09-08 12:00,26.7,47
2022-09-08 13:00,28.4,40
2022-09-08 14:00,29.0,40
2022-09-08 15:00,29.2,38
2022-09-08 16:00,29.0,39
2022-09-08 17:00,28.2,40
2022-09-08 18:00,26.5,50
2022-09-08 19:00,24.2,60
2022-09-08 20:00,22.7,68
2022-09-08 21:00,22.9,62
2022-09-08 22:00,21.3,72
2022-09-08 23:00,20.3,78
2022-09-09 0:00,20.0,81
2022-09-09 1:00,19.3,85
2022-09-09 2:00,18.7,89
2022-09-09 3:00,18.5,90
2022-09-09 4:00,18.0,92
2022-09-09 5:00,17.5,92
2022-09-09 6:00,17.6,92
2022-09-09 7:00,17.8,91
2022-09-09 8:00,20.6,78
2022-09-09 9:00,22.3,66
2022-09-09 10:00,24.5,51
2022-09-09 11:00,25.5,51
2022-09-09 12:00,27.0,50
2022-09-09 13:00,28.0,38
2022-09-09 14:00,28.5,40
2022-09-09 15:00,29.1,36
2022-09-09 16:00,28.6,36
2022-09-09 17:00,27.6,40
2022-09-09 18:00,25.7,48
2022-09-09 19:00,24.8,52
2022-09-09 20:00,23.0,63
2022-09-09 21:00,21.9,68
2022-09-09 22:00,22.0,67
2022-09-09 23:00,21.7,60
2022-09-10 0:00,21.3,56
2022-09-10 1:00,20.7,61
2022-09-10 2:00,20.3,66
2022-09-10 3:00,19.8,70
2022-09-10 4:00,19.4,72
2022-09-10 5:00,18.6,76
2022-09-10 6:00,18.1,81
2022-09-10 7:00,18.8,80
2022-09-10 8:00,20.1,73
2022-09-10 9:00,21.9,64
2022-09-10 10:00,22.4,61
2022-09-10 11:00,22.0,62
2022-09-10 12:00,24.7,55
2022-09-10 13:00,25.8,51
2022-09-10 14:00,25.8,54
2022-09-10 15:00,25.0,48
2022-09-10 16:00,24.7,52
2022-09-10 17:00,24.5,55
2022-09-10 18:00,23.3,58
2022-09-10 19:00,22.6,60
2022-09-10 20:00,22.2,62
2022-09-10 21:00,21.9,61
2022-09-10 22:00,21.7,60
2022-09-10 23:00,21.4,58
2022-09-11 0:00,21.4,60
2022-09-11 1:00,21.5,56
2022-09-11 2:00,21.2,60
2022-09-11 3:00,20.7,63
2022-09-11 4:00,20.6,65
2022-09-11 5:00,20.5,69
2022-09-11 6:00,20.7,69
2022-09-11 7:00,20.1,73
2022-09-11 8:00,21.6,72
2022-09-11 9:00,22.7,64
2022-09-11 10:00,25.1,56
2022-09-11 11:00,26.3,54
2022-09-11 12:00,27.4,51
2022-09-11 13:00,28.2,57
2022-09-11 14:00,27.1,54
2022-09-11 15:00,28.3,51
2022-09-11 16:00,27.1,57
2022-09-11 17:00,26.4,60
2022-09-11 18:00,26.0,61
2022-09-11 19:00,25.2,67
2022-09-11 20:00,24.4,70
2022-09-11 21:00,23.7,74
2022-09-11 22:00,23.4,76
2022-09-11 23:00,23.0,77
2022-09-12 0:00,22.4,82
2022-09-12 1:00,21.4,92
2022-09-12 2:00,21.2,94
2022-09-12 3:00,21.1,94
2022-09-12 4:00,21.1,95
2022-09-12 5:00,20.8,94
2022-09-12 6:00,20.6,92
2022-09-12 7:00,20.6,91
2022-09-12 8:00,21.0,88
2022-09-12 9:00,22.2,84
2022-09-12 10:00,23.3,76
2022-09-12 11:00,24.4,72
2022-09-12 12:00,24.9,72
2022-09-12 13:00,25.4,70
2022-09-12 14:00,25.8,66
2022-09-12 15:00,25.3,73
2022-09-12 16:00,25.0,75
2022-09-12 17:00,24.7,77
2022-09-12 18:00,24.2,78
2022-09-12 19:00,23.3,83
2022-09-12 20:00,22.8,85
2022-09-12 21:00,22.4,86
2022-09-12 22:00,22.4,87
2022-09-12 23:00,22.3,88
2022-09-13 0:00,22.2,89
2022-09-13 1:00,22.1,84
2022-09-13 2:00,21.9,85
2022-09-13 3:00,21.4,88
2022-09-13 4:00,21.7,85
2022-09-13 5:00,21.4,86
2022-09-13 6:00,21.2,88
2022-09-13 7:00,21.4,87
2022-09-13 8:00,22.4,83
2022-09-13 9:00,23.6,76
2022-09-13 10:00,24.7,69
2022-09-13 11:00,26.5,59
2022-09-13 12:00,27.3,60
2022-09-13 13:00,28.2,52
2022-09-13 14:00,27.5,59
2022-09-13 15:00,27.1,62
2022-09-13 16:00,27.0,64
2022-09-13 17:00,26.3,65
2022-09-13 18:00,25.9,65
2022-09-13 19:00,25.5,62
2022-09-13 20:00,25.1,61
2022-09-13 21:00,24.8,64
2022-09-13 22:00,25.0,60
2022-09-13 23:00,24.7,57
2022-09-14 0:00,24.5,52
2022-09-14 1:00,24.1,48
2022-09-14 2:00,24.0,39
2022-09-14 3:00,23.4,38
2022-09-14 4:00,23.2,41
2022-09-14 5:00,23.2,41
2022-09-14 6:00,23.0,43
2022-09-14 7:00,22.8,49
2022-09-14 8:00,23.0,45
2022-09-14 9:00,24.3,43
2022-09-14 10:00,25.4,43
2022-09-14 11:00,27.4,44
2022-09-14 12:00,28.6,44
2022-09-14 13:00,27.6,47
2022-09-14 14:00,27.8,48
2022-09-14 15:00,28.4,45
2022-09-14 16:00,27.5,40
2022-09-14 17:00,26.8,43
2022-09-14 18:00,25.9,47
2022-09-14 19:00,25.0,47
2022-09-14 20:00,24.5,47
2022-09-14 21:00,23.9,52
2022-09-14 22:00,23.2,57
2022-09-14 23:00,22.7,61
2022-09-15 0:00,22.3,64
2022-09-15 1:00,22.4,64
2022-09-15 2:00,22.4,65
2022-09-15 3:00,21.9,68
2022-09-15 4:00,22.1,68
2022-09-15 5:00,22.0,68
2022-09-15 6:00,21.7,69
2022-09-15 7:00,22.3,65
2022-09-15 8:00,23.9,60
2022-09-15 9:00,24.9,59
2022-09-15 10:00,26.3,53
